id_deputado,deputado,presencas,sessoes_total,votacoes_participadas,taxa_votacao
204531,,229,392,1329,0.22050771528123445
204532,,233,392,1389,0.2304629168740667
204533,,308,392,1806,0.29965156794425085
204534,Tabata Amaral,342,392,2336,0.3875891820142691
204535,Sâmia Bomfim,322,392,2268,0.37630662020905925
204536,Kim Kataguiri,340,392,2573,0.42691222830595654
204537,,217,392,1358,0.22531939605110338
204538,,209,392,1227,0.20358387257341962
204539,Hercílio Coelho Diniz,274,392,2226,0.3693379790940767
204540,Maria Rosas,324,392,1958,0.32487141197942593
204541,,303,392,1964,0.32586693213870915
204542,,219,392,1413,0.2344449975111996
204544,,210,392,1221,0.2025883524141364
204545,,228,392,1400,0.23228803716608595
204546,,206,392,1261,0.20922515347602455
204547,,197,392,1284,0.21304131408661026
204548,,226,392,1296,0.2150323544051767
204549,AJ Albuquerque,335,392,1689,0.280238924838228
204550,Júnior Mano,290,392,1591,0.26397876223660194
204551,,215,392,1231,0.20424755267960842
204552,,115,392,782,0.12974946075991373
204553,Pastor Sargento Isidório,339,392,1816,0.3013107682097229
204554,,216,392,1177,0.1952878712460594
204555,,230,392,1382,0.22930147668823628
204556,,220,392,1248,0.2070681931309109
204557,Sidney Leite,354,392,2403,0.3987058237929318
204558,,220,392,1267,0.21022067363530778
204559,Zé Neto,324,392,1823,0.30247220839555333
204560,Adolfo Viana,305,392,1593,0.2643106022896964
204561,,229,392,1476,0.24489795918367346
204562,,225,392,1338,0.22200099552015928
204563,Josimar Maranhãozinho,240,392,1131,0.187655550024888
204564,,191,392,1145,0.18997843039654885
204565,,215,392,1321,0.2191803550688568
204566,Marreca Filho,297,392,1805,0.29948564791770366
204567,Raimundo Costa,334,392,1670,0.2770864443338311
204569,,223,392,1703,0.28256180520988883
204570,Pastor Gil,306,392,1667,0.2765886842541895
204571,Alex Santana,335,392,1662,0.27575908412145345
204572,Capitão Alberto Neto,348,392,2699,0.4478181516509043
204573,Otto Alencar Filho,351,392,1827,0.30313588850174217
204574,Junior Lourenço,235,392,1100,0.18251202920192466
204575,,220,392,1288,0.21370499419279906
204576,,156,392,1050,0.17421602787456447
205476,Charles Fernandes,346,392,1959,0.3250373320059731
205535,,74,392,436,0.07234113157458105
205548,,199,392,1202,0.1994358719097395
205550,Jorge Braz,348,392,1720,0.2853824456611913
205863,,175,392,1012,0.1679110668657707
205865,Reinhold Stephanes,257,392,1362,0.22598307615729218
206018,Célia Xakriabá,108,392,649,0.10768209722913556
206231,,186,392,1127,0.18699186991869918
207176,,190,392,1116,0.18516674962667995
207309,,100,392,737,0.12228305956528954
208297,,15,392,73,0.01211216193794591
209189,Joseildo Ramos,338,392,1778,0.29500580720092917
209787,Nikolas Ferreira,118,392,792,0.13140866102538576
210989,Bruno Farias,107,392,614,0.1018748962999834
211498,,1,392,4,0.000663680106188817
211866,,14,392,54,0.008959681433549029
212504,,11,392,34,0.005641280902604944
212625,,64,392,303,0.05027376804380289
212749,,91,392,628,0.10419777667164427
213274,,275,392,1710,0.28372324539571925
213679,,43,392,380,0.06304961008793761
213762,Carla Dickson,217,392,1380,0.22896963663514186
213854,,30,392,267,0.04430064708810354
213856,,31,392,282,0.0467894474863116
214445,,28,392,172,0.02853824456611913
214477,,44,392,283,0.0469553675128588
214694,Jorge Goetten,135,392,989,0.164094906255185
214865,,16,392,121,0.020076323212211714
215042,,110,392,575,0.09540401526464244
215043,Josivaldo JP,221,392,1033,0.171395387423262
215044,,114,392,668,0.11083457773353243
215045,,97,392,520,0.0862784138045462
215361,,2,392,13,0.0021569603451136554
216198,,8,392,25,0.004148000663680106
216313,,9,392,26,0.004313920690227311
216544,,45,392,220,0.03650240584038494
216545,,11,392,45,0.007466401194624191
217036,,15,392,52,0.008627841380454622
217330,,39,392,169,0.02804048448647752
217480,,93,392,655,0.10867761738841879
218086,Ely Santos,105,392,576,0.09556993529118965
218245,,33,392,198,0.03285216525634644
218741,,20,392,114,0.018914883026381283
218879,,27,392,176,0.029201924672307946
219568,,11,392,58,0.009623361539737847
219585,,102,392,484,0.08030529284884685
219592,,11,392,91,0.015098722415795587
219599,,11,392,85,0.01410320225651236
219920,,1,392,4,0.000663680106188817
220008,,29,392,215,0.035672805707648914
220526,Gilvan da Federal,111,392,582,0.09656545545047288
220527,Jack Rocha,124,392,575,0.09540401526464244
220528,Dr. Victor Linhalis,112,392,952,0.15795586527293845
220529,Gilson Daniel,124,392,944,0.1566285050605608
220530,Messias Donato,123,392,589,0.0977268956363033
220531,,109,392,455,0.07549361207897794
220532,Rafael Prudente,119,392,460,0.07632321221171395
220533,Prof. Reginaldo Veras,118,392,664,0.11017089762734363
220534,Fred Linhares,123,392,621,0.10303633648581384
220536,Zé Haroldo Cathedral,115,392,1016,0.1685747469719595
220537,Helena Lima,100,392,372,0.06172224987555998
220538,Albuquerque,113,392,578,0.09590177534428405
220539,Defensor Stélio Dener,113,392,717,0.11896465903434544
220540,Duda Ramos,112,392,463,0.07682097229135557
220542,Alexandre Guimarães,101,392,427,0.07084785133565621
220543,Ricardo Ayres,124,392,1003,0.16641778662684586
220544,Antonio Andrade,115,392,469,0.07781649245063879
220545,Filipe Martins,124,392,484,0.08030529284884685
220546,Rodolfo Nogueira,124,392,922,0.15297826447652232
220547,Marcos Pollon,120,392,1256,0.20839555334328855
220548,Camila Jara,118,392,471,0.0781483325037332
220549,Any Ortiz,120,392,519,0.08611249377799901
220550,Mauricio Marcon,123,392,890,0.14766882362701178
220551,Franciane Bayer,113,392,683,0.1133233781317405
220552,Zucco,123,392,848,0.1407001825120292
220553,Denise Pessôa,121,392,710,0.11780321884851501
220554,Alexandre Lindenmeyer,113,392,502,0.08329185332669653
220555,Daiana Santos,108,392,591,0.09805873568939771
220556,Ana Paula Lima,120,392,553,0.09175377468060394
220557,Daniela Reinehr,123,392,689,0.11431889829102372
220558,Zé Trovão,120,392,555,0.09208561473369836
220559,Julia Zanatta,107,392,796,0.1320723411315746
220560,Thiago de Joaldo,108,392,477,0.07914385266301642
220561,Delegada Katarina,116,392,955,0.15845362535258006
220563,Icaro de Valmir,98,392,454,0.07532769205243073
220564,Yandra Moura,88,392,643,0.10668657706985234
220565,Delegada Adriana Accorsi,118,392,514,0.08528289364526298
220566,Lêda Borges,110,392,540,0.0895968143354903
220567,Jeferson Rodrigues,97,392,349,0.05790608926497428
220568,Gustavo Gayer,117,392,532,0.08826945412311266
220569,Silvye Alves,112,392,438,0.07267297162767546
220570,Dr. Ismael Alexandrino,114,392,619,0.10270449643271944
220571,Daniel Agrobom,124,392,645,0.10701841712294674
220572,Marussa Boldrin,122,392,632,0.10486145677783308
220573,Dorinaldo Malafaia,99,392,519,0.08611249377799901
220574,Cabo Gilberto Silva,124,392,1306,0.21669155467064874
220575,,76,392,443,0.07350257176041149
220576,Alfredo Gaspar,124,392,1077,0.17869586859133899
220577,,104,392,504,0.08362369337979095
220578,Josenildo,124,392,622,0.10320225651236105
220579,,109,392,650,0.10784801725568276
220580,,100,392,499,0.08279409324705492
220581,Luciano Amaral,121,392,483,0.08013937282229965
220582,Daniel Barbosa,99,392,476,0.07897793263646923
220583,Delegado Fabio Costa,123,392,855,0.14186162269785962
220584,Murilo Galdino,111,392,697,0.11564625850340136
220585,Mersinho Lucena,103,392,607,0.10071345611415297
220586,Rafael Brito,114,392,577,0.09573585531773685
220587,,85,392,573,0.09507217521154804
220588,Roberto Duarte,115,392,939,0.15579890492782478
220589,Eduardo Velloso,102,392,418,0.06935457109673138
220590,Coronel Ulysses,118,392,592,0.09822465571594491
220591,Meire Serafim,113,392,439,0.07283889165422266
220592,Zezinho Barbary,110,392,456,0.07565953210552513
220593,,74,392,333,0.055251368840219015
220594,Coronel Assis,122,392,844,0.1400365024058404
220595,Coronel Fernanda,111,392,1026,0.17023394723743157
220596,,60,392,274,0.045462087273933964
220597,Thiago Flores,118,392,671,0.11133233781317405
220598,Tarcísio Motta,119,392,886,0.14700514352082297
220599,Marcelo Crivella,121,392,917,0.1521486643437863
220600,,103,392,443,0.07350257176041149
220601,,64,392,278,0.04612576738012278
220602,Dimas Gadelha,123,392,540,0.0895968143354903
220603,Dani Cunha,103,392,651,0.10801393728222997
220604,Marcos Tavares,112,392,732,0.1214534594325535
220605,Bandeira de Mello,120,392,547,0.09075825452132072
220606,Reimont,117,392,723,0.11996017919362867
220607,Max Lemos,122,392,599,0.09938609590177534
220608,Cristiane Lopes,120,392,507,0.08412145345943256
220609,Maurício Carvalho,118,392,566,0.0939107350257176
220610,Dr. Fernando Máximo,113,392,538,0.08926497428239588
220611,General Pazuello,117,392,665,0.11033681765389082
220612,Bebeto,124,392,560,0.09291521486643438
220613,Roberto Monteiro Pai,118,392,888,0.14733698357391736
220614,,44,392,228,0.037829766052762566
220615,Pastor Henrique Vieira,122,392,787,0.13057906089264976
220616,Luciano Vieira,111,392,458,0.07599137215861955
220617,Murillo Gouvea,120,392,540,0.0895968143354903
220618,Sargento Portugal,110,392,840,0.13937282229965156
220619,Delegado Ramagem,124,392,1120,0.18583042973286876
220620,Rosângela Reis,115,392,715,0.11863281898125104
220621,Sargento Gonçalves,124,392,766,0.12709474033515844
220622,Nely Aquino,123,392,611,0.10137713622034179
220623,Duda Salabert,101,392,810,0.13439522150323543
220624,Robinson Faria,120,392,733,0.12161937945910072
220625,Delegada Ione,107,392,666,0.11050273768043803
220626,Rafael Simoes,120,392,537,0.08909905425584869
220627,,75,392,322,0.053426248548199766
220628,Mauricio do Vôlei,113,392,489,0.08113489298158287
220629,Dandara,113,392,486,0.08063713290194126
220630,Pedro Aihara,118,392,978,0.16226978596316574
220631,Samuel Viana,120,392,471,0.0781483325037332
220632,Ana Pimentel,119,392,495,0.0821304131408661
220633,Ricardo Salles,106,392,528,0.08760577401692385
220634,,43,392,175,0.029036004645760744
220635,Bruno Ganem,113,392,424,0.0703500912560146
220638,Antonio Carlos Rodrigues,124,392,687,0.11398705823792932
220639,Guilherme Boulos,120,392,553,0.09175377468060394
220640,Juliana Cardoso,115,392,533,0.08843537414965986
220641,Rodrigo Gambale,119,392,482,0.07997345279575245
